__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_13_repetition_15,DONE,Can I Win,memoized,0.001713;0.036586;0.063415,6.41;142.80;289.01,0.033905,146.07,0.104598,438.22,0.341645
run_14_repetition_15,DONE,K-equal Sum Partitions,normal,0.001168;0.019336;0.111675,10.26;143.49;291.90,0.044060,148.55,0.134778,445.65,0.088268
run_15_repetition_15,DONE,K-equal Sum Partitions,memoized,0.001372;0.026998;0.179498,10.08;159.39;332.10,0.069289,167.19,0.211325,501.57,0.203055
run_16_repetition_15,DONE,All Possible Full Binary Trees,normal,0.003731;0.740983;2.435037,17.25;19781.12;65674.71,1.059917,28491.03,3.182926,85473.08,34.507194
run_17_repetition_15,DONE,All Possible Full Binary Trees,memoized,0.001391;0.084387;0.270056,5.23;3709.71;9214.40,0.118611,4309.78,0.358521,12929.34,0.796105
run_0_repetition_16,DONE,Fibonacci,normal,0.000543;0.635209;4.227742,3.66;8.51;2.38,1.621165,4.85,4.865671,14.55,35.973488
run_1_repetition_16,DONE,Fibonacci,memoized,0.000664;0.000583;0.000416,4.02;10.20;3.99,0.000554,6.07,0.005453,18.20,0.000000
run_2_repetition_16,DONE,Knapsack,normal,0.000616;1.554794;9.261179,1.92;13.62;1.77,3.605530,5.77,10.820276,17.32,106.092170
run_3_repetition_16,DONE,Knapsack,memoized,0.000805;0.019550;0.020587,2.82;293.32;272.48,0.013647,189.54,0.044424,568.62,0.082120
run_4_repetition_16,DONE,Coin Change,normal,0.004623;0.112903;5.779588,6.12;5.35;4.64,1.965705,5.37,5.900462,16.11,54.746967
run_5_repetition_16,DONE,Coin Change,memoized,0.001191;0.000864;0.001016,6.55;5.68;5.31,0.001024,5.85,0.006715,17.54,0.000000
run_6_repetition_16,DONE,Levenshtein Distance,normal,0.007159;1.426975;7.993742,6.75;4.09;2.46,3.142625,4.43,9.431049,13.30,91.273133
