__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_0_repetition_12,DONE,Fibonacci,normal,0.000732;0.636445;4.015835,3.66;8.51;2.38,1.551004,4.85,4.656121,14.55,39.395414
run_1_repetition_12,DONE,Fibonacci,memoized,0.000887;0.000642;0.000383,4.02;10.20;3.99,0.000637,6.07,0.005234,18.20,0.000000
run_2_repetition_12,DONE,Knapsack,normal,0.000466;0.233843;0.668544,1.92;12.11;1.69,0.300951,5.24,0.906700,15.72,2.891183
run_3_repetition_12,DONE,Knapsack,memoized,0.000832;0.015186;0.014251,2.82;120.63;264.07,0.010089,129.17,0.033211,387.51,0.080702
run_4_repetition_12,DONE,Coin Change,normal,0.003993;0.103772;5.915950,6.12;5.35;4.64,2.007905,5.37,6.026630,16.11,54.235235
run_5_repetition_12,DONE,Coin Change,memoized,0.001029;0.000916;0.000841,6.55;5.68;5.31,0.000929,5.85,0.006256,17.54,0.000000
run_6_repetition_12,DONE,Levenshtein Distance,normal,0.010482;0.041942;8.539993,6.75;2.17;4.27,2.864139,4.40,8.594708,13.19,74.253915
run_7_repetition_12,DONE,Levenshtein Distance,memoized,0.001087;0.000601;0.001265,9.70;4.99;9.38,0.000984,8.03,0.006011,24.08,0.000000
run_8_repetition_12,DONE,Factorial,normal,0.001960;0.490958;1.687187,41.23;2120.77;3814.47,0.726702,1992.16,2.183415,5976.47,20.520824
run_9_repetition_12,DONE,Factorial,memoized,0.002800;0.548473;0.411911,52.83;16975.85;41979.58,0.321061,19669.42,0.966981,59008.26,5.273649
run_10_repetition_12,DONE,Matrix Chain Multiplication,normal,0.012186;0.317877;2.400597,4.56;3.07;2.20,0.910220,3.28,2.733477,9.83,18.437150
run_11_repetition_12,DONE,Matrix Chain Multiplication,memoized,0.001819;0.002288;0.001229,6.25;5.53;6.47,0.001778,6.08,0.008705,18.25,0.000000
run_12_repetition_12,DONE,Can I Win,normal,0.003366;0.685704;1.655875,3.27;2.38;1.46,0.781648,2.37,2.349005,7.12,20.345309
run_13_repetition_12,DONE,Can I Win,memoized,0.000836;0.036186;0.068708,6.41;142.80;289.01,0.035243,146.07,0.108310,438.22,0.371252
run_14_repetition_12,DONE,K-equal Sum Partitions,normal,0.001236;0.029502;0.119660,10.26;143.49;291.90,0.050133,148.55,0.153300,445.65,0.187052
run_15_repetition_12,DONE,K-equal Sum Partitions,memoized,0.001306;0.023188;0.143518,10.08;159.39;332.10,0.056004,167.19,0.171194,501.57,0.256405
run_16_repetition_12,DONE,All Possible Full Binary Trees,normal,0.003430;0.679393;2.430306,17.25;19781.12;65674.71,1.037710,28491.03,3.116553,85473.08,30.869384
run_17_repetition_12,DONE,All Possible Full Binary Trees,memoized,0.001380;0.082805;0.269668,5.23;3709.71;9214.40,0.117951,4309.78,0.357401,12929.34,0.979061
run_0_repetition_13,DONE,Fibonacci,normal,0.000479;0.593756;3.967764,3.66;8.51;2.38,1.520666,4.85,4.565058,14.55,41.185616
run_1_repetition_13,DONE,Fibonacci,memoized,0.000630;0.000573;0.000363,4.02;10.20;3.99,0.000522,6.07,0.004265,18.20,0.000000
